movable_object.trafficcone,human.pedestrian.adult,vehicle.car,movable_object.pushable_pullable,movable_object.barrier,vehicle.bus.rigid,vehicle.truck,vehicle.motorcycle,vehicle.bicycle,human.pedestrian.construction_worker,vehicle.construction,vehicle.trailer,human.pedestrian.personal_mobility,movable_object.debris,static_object.bicycle_rack,human.pedestrian.police_officer,human.pedestrian.child,vehicle.bus.bendy,human.pedestrian.wheelchair,human.pedestrian.stroller,animal,vehicle.emergency.police,vehicle.ego,vehicle.emergency.ambulance,Search Query,Search Method
24,47,86,4,16,8,27,24,9,10,6,1,1,2,1,1,2,0,0,0,0,0,0,0,Text Query:['adult'] Negation Query:['traffic cone'],Post Retrieval Filteration
23,22,39,1,28,7,17,13,12,12,8,0,2,1,0,0,0,0,0,0,0,0,0,0,Text Query:['truck'] Negation Query:['car'],Post Retrieval Filteration
9,41,49,0,12,4,14,13,32,6,3,0,4,0,13,0,1,0,0,0,0,0,0,0,Text Query:['bicycle'] Negation Query:['motorcycle'],Post Retrieval Filteration
55,15,33,5,51,3,21,5,0,25,34,8,0,3,0,0,0,0,0,0,0,0,0,1,Text Query:['construction'] Negation Query:['construction worker'],Post Retrieval Filteration
3,35,42,1,0,2,11,5,30,0,1,4,8,1,63,1,0,0,0,0,0,1,0,0,Text Query:['bicycle rack'] Negation Query:['trailer'],Post Retrieval Filteration
13,29,42,4,1,3,8,9,25,1,3,1,4,0,4,2,0,0,0,0,1,0,0,0,Text Query:['child'] Negation Query:['police officer'],Post Retrieval Filteration
20,45,47,5,9,4,22,24,16,4,4,0,0,4,3,0,1,0,0,0,0,0,0,0,Text Query:['animal'] Negation Query:['stroller'],Post Retrieval Filteration
40,55,75,2,29,8,57,30,20,16,15,2,1,6,2,1,1,0,0,0,0,0,0,0,Text Query:['ambulance'] Negation Query:['police car'],Post Retrieval Filteration
17,51,89,2,9,8,24,25,9,1,2,1,0,3,0,0,0,0,0,0,0,0,0,0,Text Query:['car'] Negation Query:['adult'],Post Retrieval Filteration
50,30,21,11,60,1,15,13,6,62,19,0,0,4,0,0,1,0,0,0,0,0,0,0,Text Query:['construction worker'] Negation Query:['truck'],Post Retrieval Filteration
23,54,85,0,12,10,62,4,7,2,6,15,0,1,3,1,1,0,0,0,0,8,0,0,Text Query:['police officer'] Negation Query:['bicycle'],Post Retrieval Filteration
94,39,45,5,35,1,28,4,10,10,16,3,0,19,4,0,1,0,0,0,0,0,0,0,Text Query:['traffic cone'] Negation Query:['child'],Post Retrieval Filteration
31,73,86,6,14,8,19,20,9,4,3,0,2,2,3,0,2,0,0,0,1,0,0,0,Text Query:['stroller'] Negation Query:['bicycle rack'],Post Retrieval Filteration
9,40,39,3,7,2,14,86,6,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,Text Query:['motorcycle'] Negation Query:['animal'],Post Retrieval Filteration
11,58,88,3,11,10,18,12,12,2,2,1,1,1,3,0,3,0,0,0,0,2,0,0,Text Query:['police car'] Negation Query:['construction'],Post Retrieval Filteration
