movable_object.trafficcone,human.pedestrian.adult,vehicle.car,movable_object.pushable_pullable,movable_object.barrier,vehicle.bus.rigid,vehicle.truck,vehicle.motorcycle,vehicle.bicycle,human.pedestrian.construction_worker,vehicle.construction,vehicle.trailer,human.pedestrian.personal_mobility,movable_object.debris,static_object.bicycle_rack,human.pedestrian.police_officer,human.pedestrian.child,vehicle.bus.bendy,human.pedestrian.wheelchair,human.pedestrian.stroller,animal,vehicle.emergency.police,vehicle.ego,vehicle.emergency.ambulance,Search Query,Search Method
19,53,66,1,12,10,20,13,10,3,5,1,2,2,4,2,0,0,0,0,0,0,1,0,Text Query:None Negation Query:['traffic cone'],Post Retrieval Filteration
20,49,66,2,13,9,24,13,14,6,5,2,2,3,5,0,1,0,0,0,0,0,0,0,Text Query:None Negation Query:['adult'],Post Retrieval Filteration
22,48,60,2,12,7,20,9,10,4,5,1,2,2,5,0,0,0,0,0,0,0,1,0,Text Query:None Negation Query:['car'],Post Retrieval Filteration
20,49,66,2,13,9,22,13,14,5,4,0,2,3,5,0,1,0,0,0,0,0,0,0,Text Query:None Negation Query:['truck'],Post Retrieval Filteration
19,47,66,2,15,10,23,12,13,7,5,2,2,3,5,0,0,0,0,0,0,0,0,0,Text Query:None Negation Query:['motorcycle'],Post Retrieval Filteration
23,49,67,2,14,7,26,9,9,3,3,3,1,3,3,2,0,0,0,0,0,0,0,0,Text Query:None Negation Query:['bicycle'],Post Retrieval Filteration
19,50,68,1,12,9,23,12,15,5,4,2,2,3,5,0,1,0,0,0,0,0,0,0,Text Query:None Negation Query:['construction worker'],Post Retrieval Filteration
22,49,69,1,10,10,31,14,14,3,4,0,1,2,6,2,0,1,0,0,1,0,0,0,Text Query:None Negation Query:['construction'],Post Retrieval Filteration
19,49,67,1,13,9,23,12,14,6,5,0,2,3,5,0,1,0,0,0,0,0,0,0,Text Query:None Negation Query:['trailer'],Post Retrieval Filteration
18,52,69,1,15,11,25,10,12,7,5,2,1,3,4,0,0,0,0,0,0,0,0,0,Text Query:None Negation Query:['bicyle rack'],Post Retrieval Filteration
20,47,65,2,12,8,24,13,13,6,4,2,2,3,5,0,1,0,0,0,0,0,0,0,Text Query:None Negation Query:['police officer'],Post Retrieval Filteration
20,49,66,2,13,9,24,13,14,6,5,2,2,3,5,0,1,0,0,0,0,0,0,0,Text Query:None Negation Query:['child'],Post Retrieval Filteration
20,49,66,2,13,9,24,13,14,6,5,2,2,3,5,0,1,0,0,0,0,0,0,0,Text Query:None Negation Query:['stroller'],Post Retrieval Filteration
20,50,67,2,13,9,24,13,14,6,5,2,2,3,5,0,1,0,0,0,0,0,0,0,Text Query:None Negation Query:['animal'],Post Retrieval Filteration
21,54,63,2,12,7,20,12,11,4,3,3,2,3,5,2,0,0,0,0,0,0,0,0,Text Query:None Negation Query:['police car'],Post Retrieval Filteration
19,49,66,2,12,9,23,12,13,5,4,2,2,3,5,0,1,0,0,0,0,0,0,0,Text Query:None Negation Query:['ambulance'],Post Retrieval Filteration
