movable_object.trafficcone,human.pedestrian.adult,vehicle.car,movable_object.pushable_pullable,movable_object.barrier,vehicle.bus.rigid,vehicle.truck,vehicle.motorcycle,vehicle.bicycle,human.pedestrian.construction_worker,vehicle.construction,vehicle.trailer,human.pedestrian.personal_mobility,movable_object.debris,static_object.bicycle_rack,human.pedestrian.police_officer,human.pedestrian.child,vehicle.bus.bendy,human.pedestrian.wheelchair,human.pedestrian.stroller,animal,vehicle.emergency.police,vehicle.ego,vehicle.emergency.ambulance,Search Query,Search Method
35,57,86,2,6,17,47,6,16,2,8,13,0,3,4,1,3,0,0,2,2,1,0,1,Text Query:['adult'] Negation Query:['traffic cone'],Vector-Arithmetics MAG 1.0
23,22,38,4,12,1,88,5,2,5,3,25,0,1,3,0,0,0,0,0,1,0,0,0,Text Query:['truck'] Negation Query:['car'],Vector-Arithmetics MAG 1.0
11,39,36,0,3,0,8,2,65,0,0,2,4,1,31,0,1,0,0,0,0,0,0,0,Text Query:['bicycle'] Negation Query:['motorcycle'],Vector-Arithmetics MAG 1.0
6,16,23,7,4,1,4,2,10,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,Text Query:['construction'] Negation Query:['construction worker'],Vector-Arithmetics MAG 1.0
4,40,41,2,0,0,9,4,33,0,0,0,9,5,63,1,1,0,0,0,0,0,0,0,Text Query:['bicycle rack'] Negation Query:['trailer'],Vector-Arithmetics MAG 1.0
9,19,28,1,2,2,13,8,6,1,3,0,0,1,4,0,1,0,0,0,0,0,0,0,Text Query:['child'] Negation Query:['police officer'],Vector-Arithmetics MAG 1.0
22,22,61,0,0,6,27,4,5,3,3,10,1,3,0,1,0,0,0,0,0,0,0,0,Text Query:['animal'] Negation Query:['stroller'],Vector-Arithmetics MAG 1.0
44,68,73,4,35,11,45,10,13,23,24,1,0,7,6,2,3,0,0,1,0,0,0,0,Text Query:['ambulance'] Negation Query:['police car'],Vector-Arithmetics MAG 1.0
20,36,76,1,5,2,27,11,10,2,2,4,0,1,5,0,2,0,0,0,0,1,0,0,Text Query:['car'] Negation Query:['adult'],Vector-Arithmetics MAG 1.0
50,26,15,7,46,2,9,7,5,37,8,2,0,3,0,1,0,0,0,0,0,0,0,0,Text Query:['construction worker'] Negation Query:['truck'],Vector-Arithmetics MAG 1.0
22,46,81,1,15,5,46,2,6,0,0,12,0,2,2,1,1,0,0,0,0,9,0,0,Text Query:['police officer'] Negation Query:['bicycle'],Vector-Arithmetics MAG 1.0
92,40,58,2,49,5,32,12,12,21,20,1,0,16,0,0,2,0,0,0,0,0,0,0,Text Query:['traffic cone'] Negation Query:['child'],Vector-Arithmetics MAG 1.0
26,59,88,2,10,9,27,14,10,6,4,0,1,2,2,1,0,0,0,0,0,0,0,0,Text Query:['stroller'] Negation Query:['bicycle rack'],Vector-Arithmetics MAG 1.0
10,46,46,2,7,1,11,84,6,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,Text Query:['motorcycle'] Negation Query:['animal'],Vector-Arithmetics MAG 1.0
7,41,78,5,8,9,28,13,7,4,1,1,0,0,2,1,1,0,0,0,0,0,0,0,Text Query:['police car'] Negation Query:['construction'],Vector-Arithmetics MAG 1.0
