movable_object.trafficcone,human.pedestrian.adult,vehicle.car,movable_object.pushable_pullable,movable_object.barrier,vehicle.bus.rigid,vehicle.truck,vehicle.motorcycle,vehicle.bicycle,human.pedestrian.construction_worker,vehicle.construction,vehicle.trailer,human.pedestrian.personal_mobility,movable_object.debris,static_object.bicycle_rack,human.pedestrian.police_officer,human.pedestrian.child,vehicle.bus.bendy,human.pedestrian.wheelchair,human.pedestrian.stroller,animal,vehicle.emergency.police,vehicle.ego,vehicle.emergency.ambulance,Search Query,Search Method
22,41,53,3,24,10,23,16,15,5,7,3,1,1,0,0,0,0,0,0,0,0,0,0,Text Query:None Negation Query:['traffic cone'],Vector-Arithmetics MAG 0
19,35,18,5,5,0,5,7,7,4,3,0,0,1,7,0,1,0,0,0,0,0,0,0,Text Query:None Negation Query:['adult'],Vector-Arithmetics MAG 0
17,43,44,2,9,4,24,9,4,2,3,3,0,2,8,1,1,0,1,0,0,0,0,0,Text Query:None Negation Query:['car'],Vector-Arithmetics MAG 0
14,47,20,1,3,0,2,5,8,1,0,0,2,0,6,0,4,0,0,0,0,0,0,0,Text Query:None Negation Query:['truck'],Vector-Arithmetics MAG 0
8,14,31,0,4,3,10,0,5,3,2,0,2,4,1,2,0,0,0,0,0,1,0,0,Text Query:None Negation Query:['motorcycle'],Vector-Arithmetics MAG 0
11,16,36,0,6,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Text Query:None Negation Query:['bicycle'],Vector-Arithmetics MAG 0
19,45,86,1,11,10,21,18,12,6,2,0,0,3,1,0,1,0,0,0,0,0,0,0,Text Query:None Negation Query:['construction worker'],Vector-Arithmetics MAG 0
5,16,27,1,2,3,5,7,9,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Text Query:None Negation Query:['construction'],Vector-Arithmetics MAG 0
25,54,25,0,9,0,6,22,9,2,2,0,0,6,1,1,3,0,0,0,0,0,0,0,Text Query:None Negation Query:['trailer'],Vector-Arithmetics MAG 0
1,7,13,0,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Text Query:None Negation Query:['bicycle rack'],Vector-Arithmetics MAG 0
13,31,29,2,1,2,7,3,13,1,0,1,4,1,10,0,1,0,0,0,0,0,0,0,Text Query:None Negation Query:['police officer'],Vector-Arithmetics MAG 0
56,52,78,3,29,14,46,7,10,11,15,10,0,4,1,1,0,0,0,0,0,0,0,0,Text Query:None Negation Query:['child'],Vector-Arithmetics MAG 0
38,16,21,2,15,1,14,0,8,12,4,3,0,1,2,0,0,0,0,0,0,0,0,0,Text Query:None Negation Query:['stroller'],Vector-Arithmetics MAG 0
6,21,26,2,6,2,5,11,9,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,Text Query:None Negation Query:['animal'],Vector-Arithmetics MAG 0
54,40,81,1,26,13,51,1,4,6,12,4,0,5,4,2,1,0,0,0,0,0,0,0,Text Query:None Negation Query:['police car'],Vector-Arithmetics MAG 0
0,4,17,0,2,0,11,3,2,0,3,4,0,0,1,0,0,0,0,0,1,0,0,0,Text Query:None Negation Query:['ambulance'],Vector-Arithmetics MAG 0
