movable_object.trafficcone,human.pedestrian.adult,vehicle.car,movable_object.pushable_pullable,movable_object.barrier,vehicle.bus.rigid,vehicle.truck,vehicle.motorcycle,vehicle.bicycle,human.pedestrian.construction_worker,vehicle.construction,vehicle.trailer,human.pedestrian.personal_mobility,movable_object.debris,static_object.bicycle_rack,human.pedestrian.police_officer,human.pedestrian.child,vehicle.bus.bendy,human.pedestrian.wheelchair,human.pedestrian.stroller,animal,vehicle.emergency.police,vehicle.ego,vehicle.emergency.ambulance,Negated Search Query,Search Method
85,41,47,3,27,1,25,7,12,10,12,1,0,18,4,0,3,0,0,0,0,0,0,0,Text: no traffic cone Negation: N,Normal Search
13,40,52,3,12,7,19,13,15,8,3,1,0,1,2,0,0,0,0,1,1,0,0,0,Text: no adult Negation: N,Normal Search
12,48,67,3,13,13,22,16,23,9,4,0,0,2,1,1,2,0,0,0,0,0,0,0,Text: no car Negation: N,Normal Search
27,30,43,1,20,2,86,4,6,9,9,7,0,2,4,0,0,0,0,0,0,0,0,0,Text: no truck Negation: N,Normal Search
7,36,29,3,5,0,10,69,6,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,Text: no motorcycle Negation: N,Normal Search
11,35,28,4,11,2,6,11,64,3,2,0,2,0,9,0,0,0,0,0,0,0,0,0,Text: no bicycle Negation: N,Normal Search
55,24,33,6,57,2,19,20,2,44,23,3,0,3,0,0,1,0,0,0,0,0,0,0,Text: no construction worker Negation: N,Normal Search
64,26,51,3,50,5,37,4,5,13,23,12,0,2,1,0,1,0,0,0,0,0,0,0,Text: no construction Negation: N,Normal Search
17,15,49,1,15,4,54,10,6,5,9,53,0,0,1,0,0,0,0,1,0,0,0,0,Text: no trailer Negation: N,Normal Search
1,28,40,0,4,0,4,5,55,0,0,0,6,0,34,0,0,0,0,0,0,0,1,0,Text: no bicycle rack Negation: N,Normal Search
19,56,45,3,13,2,14,30,12,9,2,0,1,0,0,2,1,0,0,0,0,0,1,0,Text: no police officer Negation: N,Normal Search
14,39,48,3,8,2,18,3,16,2,3,5,0,1,7,0,2,0,0,0,0,0,1,0,Text: no child Negation: N,Normal Search
9,46,45,1,2,1,14,8,21,3,2,3,2,1,5,0,2,0,0,1,0,0,0,0,Text: no stroller Negation: N,Normal Search
4,26,35,3,6,6,7,10,23,2,1,0,2,2,1,0,1,0,0,0,0,0,0,0,Text: no animal Negation: N,Normal Search
11,54,79,2,3,3,23,13,11,4,2,1,0,1,3,2,4,1,0,0,0,0,1,0,Text: no police car Negation: N,Normal Search
15,36,65,4,12,5,22,22,9,13,7,0,0,2,0,1,0,0,0,0,0,0,0,1,Text: no ambulance Negation: N,Normal Search
